Complaint #,Complaint_clean,Topic
1,morning name stop bank cardmember service ask debt verification statement bank debt mail month debt right information consumer ,Bank account services
2,card agent upgrade date agent information order account change date  consent  recording agent,Credit card / Prepaid card
10,card report application identity consent service credit identity applicant,Credit card / Prepaid card
11,try book  ticket offer ticket card information offer minute screen decision bank chase bank notification screen chase represent,Credit card / Prepaid card
14,son chase account fund bank account pay money son check money bank refuse money son call chase time check owner country time da,Bank account services
15,inquiry,Credit card / Prepaid card
17,jp chase account debit card tuesday thursday branch customer service representative account branch fund deposit place employmen,Bank account services
20,summer month income employment month payment extension auto loan company chase year request payment extension auto loan payment,Others
21, payment online retailer use pay  chase website website confirmation product response inquiry regard order contact chase inform,Theft/Dispute reporting
23,chase credit card datum credit report company issue,Credit card / Prepaid card
24,mishandle account auto ,Bank account services
26,time attempt inquiry creditor place inquiry report attempt bank bureau inquiry person care issue matter attempt nobody bank inq,Credit card / Prepaid card
27,account bank code bonus term everything account deposit bonus day  require deposit account coupon code apply day bonus,Bank account services
30,concern bank charge fee balance fee balance transaction need order charge guideline bank fault money document chase refund way ,Theft/Dispute reporting
32,chase card decline catering order place brother funeral amount noon today number chase account user account saving customer rep,Theft/Dispute reporting
35,save account bonus bonus auto transfer check transfer fund check s account fund account request executive team transfer month e,Bank account services
40, love seat table chair charge bank claim furniture money,Theft/Dispute reporting
42,card today email money bank account go,Bank account services
43,send email today title information regard change chase account title ad communication bind arbitration something part contract ,Mortgages/loans
45,purchase amount transaction dispute case bank charge account sunday credit charge monday charge credit debt card monday bank ne,Theft/Dispute reporting
48,jp bank please question  access information reason access information chase account routing number accord statement chase repor,Credit card / Prepaid card
50,citizen company  time share company nothing refund credit card information company pay,Credit card / Prepaid card
52,roommate debit card driver license pretend money account pin phone password room card money chase debit card pin number fraud p,Theft/Dispute reporting
57,loan modification chase runaround payment doc,Mortgages/loans
58,purchase  payment  payment closing date please statement statement purchase balance  month statement purchase one   statement p,Others
59,chase reward point worth month access chase reward account bonus chase freedom page request time image attach  error chase week,Theft/Dispute reporting
63,transaction d service refund card account,Theft/Dispute reporting
64,chase credit card credit style marketing swa card online send triangle waste time money middle chase rule marketing machine pol,Credit card / Prepaid card
65,chase reward credit card time offer reward point companion pass  month link provide credit card offer time signup promotion com,Credit card / Prepaid card
69,someone call state commit security number check account asset state police department,Bank account services
73,chase branch reinstatement amount bank order foreclosure property executive ms trustee rule regulation payoff order foreclosure,Mortgages/loans
78,dispute service list night hotel  transportation hotel city tour  tour total reason service flight  reason process refund thru ,Theft/Dispute reporting
81,  loan title time resolution time nothing state registration state title car car,Mortgages/loans
82,bank credit bureau day payment info  bill balance bill amount day  payment day day return payment man phone state payment mean ,Others
83,inquire report credit bureau  date company auto,Credit card / Prepaid card
86,student loan bank account attempt work department one sell credit report payment credit letter response,Credit card / Prepaid card
88,item chase credit card merchant estimate product shipment date  wait item amount time order item ship  refund merchant merchant,Theft/Dispute reporting
92,transaction chase account report help account refuse banking relationship chase freeze money month balance complaint cfpb month,Bank account services
93,service group island snorkeling activity basis dispute thru itinerary conversation phone end day confusion charge card service ,Theft/Dispute reporting
94,complaint issue credit card chase benefit travel department travel relate credit issue experience chase credit chase contact ai,Theft/Dispute reporting
95,chase credit card time month card card cs rep phone credit increase card fund card credit purchase charge place charge decline ,Credit card / Prepaid card
99,name  payment day time loan modification loss mitigation assistance help loan forbearance option issue refinance dti debt time ,Mortgages/loans
100,bank  credit inquiry company assure inaccuracy review credit report none company involve  credit year,Credit card / Prepaid card
101,airline ticket  dollar airport ticket hour refund account day  money airline ticket money dollar money balance pende statement ,Theft/Dispute reporting
103, advertisement email chase customer chase checking account set deposit chase customer chase account deposit total money busines,Bank account services
111,chase billing error service chase refuse claim day reg z institution mail phone institution billing error place say account fun,Bank account services
115,time chase order credit account fee shot show balance deposit morning check time mention time time deposit rep stuff top transa,Bank account services
127,member  auto finance gap insurancewaiver coverage time financing agreement station  cadillac vehicle auto finance vehicle finan,Mortgages/loans
128,chase credit report chase credit card  reason credit bureaus report credit card credit card account account number account bala,Credit card / Prepaid card
129,complaint regard complaint  file cfpb complaint dispute detail year someone use information book flight city head destination t,Theft/Dispute reporting
130,ticket use chase credit card family parent time fall discount airline carrier ticket trip way ticket purchase family  parent ti,Theft/Dispute reporting
131,join bank check deposit deposit deposit day nothing bank coupon code link code day mine day,Bank account services
133,deposit chase bank checking account amount business day deposit size post account problem money post balance account reason fin,Bank account services
134,access chase credit card online problem send letter state account access billing way account way account branch pay month point,Bank account services
135,credit report inquiry business company,Credit card / Prepaid card
138,complaint bank jp chase charge debit card bank time say date charge card venue card charge strip club call base bank credit acc,Theft/Dispute reporting
139,chase complaint dispute report company time problem lawsuit lot violation account violation consumer dispute mark none report a,Credit card / Prepaid card
141,action company date individual group contact chase claim multiple claim payment authorize credit reverse fund fee transaction c,Others
142,,Bank account services
143,hello credit account amazon credit credit reporting service inquiry place card company credit report credit imagine surprise al,Credit card / Prepaid card
148,ink business credit card year reward point time reward balance yesterday access site chase account government entity reward pro,Credit card / Prepaid card
149,coupon sapphire banking account total day reward bonus point account bank coupon transfer account day point customer service br,Bank account services
150,purchase  link chase account fund check account day  bank chargeback amount check account dispute chase situation paper mail no,Bank account services
152,inquiry inquiry jp morgan chase inquiry inquiry inquire,Credit card / Prepaid card
153,chase atm locate illinois cash check account deposit account bill atm crash trouble receipt dollar customer service credit emai,Bank account services
154,firm issue check amount draw chase account rent telephone call pay bank question payee check  s account recommend s fraud depar,Bank account services
155,mail solicitation bank coupon bonus check account account account chase branch locate fl  chase client help chase checking acco,Bank account services
156,issue mortgage loan property contact home insurance company month fund mortgage loan loan number loan account use purpose mortg,Mortgages/loans
157,fund chase account transaction chase account  text bank representative tell charge bank look charge checking account transfer c,Theft/Dispute reporting
159,transaction atm amount transaction amount charge use bank atm transaction home  transaction  home account cell phone notice mon,Bank account services
160,occasion bank chase charge fee account way charge account item account item  thing happen balance accountone bank order charge ,Theft/Dispute reporting
162,inquiry credit score information inquiry credit score card service date information credit score,Credit card / Prepaid card
164, year chase money escrow account property taxis money property connection account escrow shortage payment mistake week parcel a,Bank account services
167,payment debt cart credit card post request day refund money tuesday pay bill payment payee midnight,Others
168,information use knowledge phone call creditor prompt credit accord information breach  datum year date credit account credit re,Credit card / Prepaid card
170,jpmcbcard service credit score knowledge consent request reporting report evidence show credit card application card service,Credit card / Prepaid card
172,plane ticket  cancellation plan exhibit thing change ticket week week flight  refuse money airline anything fraud credit card,Theft/Dispute reporting
175,situation start payment business operate colorado situation person call partner company money person job job amount bank money ,Bank account services
176,check party verification fund account account balance mail check balance held fund business day fund week amount  check  accoun,Bank account services
177,charge account amount   transaction seller s name seller s seller transaction i transaction date transaction amount transaction,Theft/Dispute reporting
178,book hotel property list stay listing list  book property name  name property service center circle tell service center busines,Theft/Dispute reporting
180,party account dozen transaction chase bank account transaction period month report bank transaction chase return fall day trans,Bank account services
184,  office company office company incorporate delaware entity owner base entity bank bank contact base relationship company locat,Credit card / Prepaid card
187,chase sapphire prefer chase freedom cause credit limit card payment time amount credit purchase expense repair customer service,Credit card / Prepaid card
188,  credit pull account account time account date inquiry report thank,Credit card / Prepaid card
196,bank refuse charge  chase  matter charge bill chase  computer access knowledge bill  credit card computer computer series brows,Theft/Dispute reporting
198,account relate transaction result fee stoppayment fee payment fee bill bill time reverse total overdraft fee charge check accou,Theft/Dispute reporting
200,debt resolution program number contact representative representative call  credit collection company use chase friday call call,Mortgages/loans
201,credit card account card service card delinquent status management s discretion reason top credit card payment fashion end end ,Credit card / Prepaid card
203,jp report loan debt irs behalf  address use report cosigner address splicing address city state cancellation claim attempt cosi,Mortgages/loans
206,bank promotion offer individual bank source month base representation chase chase account transfer bank account month promise w,Bank account services
210,training company charge debit card product training course work course website day instruction course email course course agent,Theft/Dispute reporting
212,tuesday pay payment security deposit month rent home owner money  bank part chase protection chase run talk chase claim  part c,Others
213,mortgage payment month provider   transfer file process do communication anyone check account chase today notice mortgage pay b,Others
214,account bank account hack account access chase account access account year avail answer,Bank account services
215,chase sapphire credit card charge amount dispute chase branch time credit charge day card credit card charge charge reappear ca,Theft/Dispute reporting
220,husband check bank atm machine check cash cancel check end hand thief amount cash fund credit union thing chase deposit check w,Bank account services
221,chase freedom card cash month total spend promotion page application form card discussion promotion web party credit card custo,Credit card / Prepaid card
222,chase bank chase sapphire reserve car travel dining parking lot bill utility day taqueria lunch chase bank try pay promise cash,Bank account services
223, link chase freedom credit card referrer bonus get bonus spend month referrer confirm point month statement point account chase,Credit card / Prepaid card
228,complaint regard case managment attention fail communicate representative call mr   mail  noon   mail  message return call voic,Theft/Dispute reporting
229,complaint chase bank checking account explanation chase credit card issue credit card bank timeline note check account meet cli,Bank account services
240,copy documentation require section section consumer contract signature verification identity enter contract section fcra inform,Mortgages/loans
244,evening  ticket use chase reward point chase sapphire reserve credit card return flight issue refund inform refund week chase r,Theft/Dispute reporting
246,chase account online chase secure messaging system request remain balance send check amount check business day check chase secu,Bank account services
249,claim transaction  bank chase hand reason control money lose response explain account chase configure phone number  use email  ,Bank account services
250,chase moblie someone money bank claim tell person response,Bank account services
259,notice jp bank na check account name information bank request day debit card name account card number checking contact chase ba,Bank account services
